globalvar	Mark	0
globalvar	Collaborator	1
globalvar	ANTI_CRASH_ACTIVATE_PERCENT	2
globalvar	ANTI_CRASH_HOLD_TIME	3
globalvar	ANTI_CRASH_DEACTIVATE_PERCENT	4
globalvar	Debug_UltimateGain	5
globalvar	FalloffMin	6
globalvar	ProjectileSpeed	7
globalvar	BotHeroArray	8
globalvar	Heros	9
globalvar	Hero_BAN	10
globalvar	Genji	11
globalvar	Orisa_Fortify	12
globalvar	HeadshotDamage	13
globalvar	ZaryaBuff	14
globalvar	IllariBuff	15
globalvar	MercyBuff	16
globalvar	SombraBuff	17
globalvar	Tracer_Ability	18
globalvar	ReaperBuff	19
globalvar	MaugaBuff	20
globalvar	S76Buff	21
globalvar	SojournBuff	22
globalvar	HazardBuff	23
globalvar	FrejaBuff	24
globalvar	WuyangBuff	25
globalvar	Brigitte	26
globalvar	SigmaBuff	27
globalvar	JunoBuff	28
globalvar	Ana_GrenadeDamage	29
globalvar	DoomBuff	30
globalvar	Zen_KnockupStrength	31
globalvar	Ram_Annihilation	32
globalvar	VendettaBuff	33
globalvar	Counters	34
globalvar	Counter_Bot	35
globalvar	Blacklist	36
globalvar	CustomAI	37
globalvar	CustomAIArray	38
playervar	reset_pvar	0
playervar	heroNum	1
playervar	botTemp	2
playervar	botTarget	3
playervar	Strafe	4
playervar	third_person	5
playervar	hudText	6
playervar	unaffected	7
playervar	heros	8
playervar	extra_hero	9
playervar	mov_speed_penalty	10
playervar	mov_speed_buff	11
playervar	orisa_buff	12
playervar	ram_block_damage	13
playervar	ram_block_damage_hud	14
playervar	ram_dmg_reduc	15
playervar	hack_timer	16
playervar	taunt	17
playervar	mauga_berserker_soul	18
playervar	mauga_berserker_soul_id	19
playervar	illari_captive_hud	20
playervar	brigitte_buff	21
playervar	zarya_barrier_shields	22
playervar	zarya_graviton_buff	23
playervar	brig_repair_pack	24
playervar	brig_repair_pack_id	25
playervar	brig_rally_armor_id	26
playervar	reinhardt_charge_cd	27
playervar	isKnocked	28
playervar	KnockbackDirection	29
playervar	wuyang_buff	30
playervar	orisa_fortify_armor_id	31
playervar	ChangelogText1	32
playervar	ChangelogText2	33
playervar	hazard_buff	34
playervar	hazard_hp_id	35
playervar	reaper_buff	36
playervar	zarya_buff	37
playervar	moira_buff	38
playervar	sigma_hyperspheres_hud	39
playervar	sigma_hyperspheres	40
playervar	doom_buff	41
playervar	doom_buff_hud	42
playervar	juno_buff	43
playervar	freja_buff	44
playervar	reinhardt_buff	45
playervar	junker_queen_buff	46
playervar	heart_steel	47
playervar	kiriko_buff	48
playervar	nano_full_health	49
playervar	has_nano	50
playervar	sombra_buff	51
playervar	healing_increase	52
playervar	healing_decrease	53
playervar	dmg_amplification	54
playervar	dmg_reduction	55
playervar	hazard_using_ability_sec	56
playervar	vendetta_hud	57
playervar	scoped_shot_distance	58
playervar	scoped_damage_base	59
playervar	ow2_scoped_damage_falloff_scalar	60
playervar	ow1_scoped_damage_falloff_scalar	61
playervar	expected_scoped_damage	62
playervar	aram_extra_pool_applied	63
playervar	burn_stack	64
subroutine	Knockback	0
subroutine	applyCustomHp	1
subroutine	clearCustomHp	2
subroutine	resetFrenemies	3
subroutine	resetStats	4
subroutine	resetStatuses	5
subroutine	executeUppercut	6
subroutine	enableAllAbilities	7
subroutine	disableAllAbilities	8
subroutine	changelogText	9
subroutine	resetHero	10
subroutine	removeTankPassive	11
subroutine	botAim2Target	12
subroutine	applySignedMoveSpeed	13
subroutine	clearMoveSpeedDebuffs	14
